Thu Jan 28 16:00:02 CET 2021
[92mTransaction '50ad6e74c23ea4a7f2c447ac38dadfb12400317b9fcc16f6680fe9f289935751' sent to the baker.
[92mTransaction 'b4d93d8ea1f74bd1f0463f89a365b8b985cab6676cf1abdf953db768f1fa9506' sent to the baker.
[92mTransaction '23245a185b28a3e1074051d1959a5fac5055713d43b9f1d96838d3d0605e29be' sent to the baker.
[92mTransaction '8107a56ae1b4803fd36b76efcd080a23e7e6d700201452ed6543ffc5828fdc89' sent to the baker.
[92mTransaction '738f8eb5435ad5bc924c0036cb19f016517a937afd2724b1348c5c8afa89fc0d' sent to the baker.
[92mTransaction '314271452c4be19b6d54e43c584a743b9e2889ae25e46c6d067d3709e0898039' sent to the baker.
[92mTransaction '9d16a9a969181519484019042787d44646bcf4bc2ad2d6f72ff4535b7a6cde98' sent to the baker.
[92mTransaction '7b8c65464d5089b136b798a6aee102c96624aaefc68f632c7ca9fda859538f9e' sent to the baker.
[92mTransaction 'bdb8fccab21756543d589553303948c1f9da6571d217667ac233d98c7ff4b1a4' sent to the baker.
[92mTransaction 'a4dfe7e4630b8836115efc4b3063b606bde8f0a1df1d341f885981921aaab502' sent to the baker.
[92mTransaction 'e67a1d340ad4d452cef413272c5eb08af0fc9a7d4e8108a6dad2cfb8ec1fc998' sent to the baker.
[92mTransaction '99f329b380f3ccb92fc48a2836e26c8a34d57c7fd656f7222c4f2de23a498ca2' sent to the baker.
[92mTransaction '40f866adce18c457dc31c2e224156b0ed26106ad8587c0d4ee0cd6e218385cb7' sent to the baker.
[92mTransaction 'ce4f0beb3a5a63efc628e9dc3bcd75f47b0ac8de21a263c7706f3c2c41f54e9d' sent to the baker.
[92mTransaction 'b287bd26301b460661fb43ac240a6f1660ecb67229c3dc4f926611e2f3c949ba' sent to the baker.
[92mTransaction 'fe185ebd638fbf36ea178c618394dcd0da0557089cc1089710d41c16617fe960' sent to the baker.
[92mTransaction '11d2e25542a3886de1398bf90e28d772a56a6a104900ab17ab6067ff9a9c861a' sent to the baker.
[92mTransaction '8ea9ce8f9111a87142acdbbf09294e128e96f42ead937afa739feb00bbb41a9a' sent to the baker.
[92mTransaction '22ecd3b5bd54fdee6426910c1ba432be717dc2d629d655b06e9798cca8beff1b' sent to the baker.
[92mTransaction '23653ff61ed551ae859bbba131a51c60c7f8b0f6c9b2516bf698b758032451b8' sent to the baker.
[92mTransaction '41a3c12342bd08a3f99fa60ab41702ab865ba931725076d9d1ceb9df5867f3ce' sent to the baker.
[92mTransaction 'b58b372ffa51fb9b2407d800ca3fb0132af69936571542a70630cce944391f25' sent to the baker.
[92mTransaction '6230e32fa06c931863529d6c7ff1e25a2b1d1bc2b28898e7e8f1b58cdff3b9e4' sent to the baker.
[92mTransaction '3307b2a2087440810ad01e24e5dd2e76a2b7f6176a4c73f432ce9ee0c568b9f6' sent to the baker.
[92mTransaction '8c4b09d225db332362b3d0453153c60c30978d1450a249a4a0e7d67148703292' sent to the baker.
[92mTransaction 'b1f712b5b2e89892cd3fae572bfc9abeb5669598f570045f287c0d55222e7711' sent to the baker.
[92mTransaction '2e5bb77517279806a587ee4ae80b4532ed923c12e41f381a513c050d073ca5f0' sent to the baker.
[92mTransaction '894c7ac33dc1b838deda3ec982d485ad956eb8b1e5e0e791886d15bfcaad3441' sent to the baker.
[92mTransaction 'a9ef9b8fcaf7fdd62598b5625ce59fc1181deaff38f1c322475f482927be7721' sent to the baker.
[92mTransaction 'ba38dbeec44b5aeec734f44e69fe2f926e59f809d5cc89480ab3a85647ceaf05' sent to the baker.
[92mTransaction 'd1db4b3c20e4d1b22f40f1ed03b3367d8b8512649ce40c2eece713a9a4a76034' sent to the baker.
[92mTransaction '08a675b0ffe2f6c2c4968bd14a0f6682c345505dc803a17823642db16c544cb4' sent to the baker.
[92mTransaction 'be8b56d23a914bb5dbcd0d5447b753fe359d9a469617eef27d5a272b53c401c9' sent to the baker.
[92mTransaction '360fe732c8e9741658d07b084b8fe4f463d367aff3bf8fdb6df65c113faf6ad9' sent to the baker.
[92mTransaction 'd2b549b20733a2f25d4cebcab170af7d168602b1a3e7f49f6f9e286005fdcace' sent to the baker.
[92mTransaction '8ec0d96a835948432d5c192c0c8bcc057628760a0c55cfea8a2cac3e1ea793db' sent to the baker.
[92mTransaction '640938d88aac2d11067c367252dfcf5e27546aa23f156c1f613e610b50d81450' sent to the baker.
[92mTransaction '3596a13bf47bef16ffdec76566ed8f90db6008fe63e4e9e46566f596e2e394aa' sent to the baker.
[92mTransaction 'e7195e9b66733789669fcdee4ed558b738630980dc06d029b9af5a3775f8a01a' sent to the baker.
